KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Title,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,STATUS_LEGEND:  🔵 GENERATED | ⚪ PLANNED | 🟢 APPROVED | 🔴 BLOCKED,Effort_Predicted,Priority,REC,Origin,Modification_Type,Related_TBD,Spawned_By,Notes
🔵 KNU-00-00-001-REQ-001,KNOT-00-00-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Program Glossary Requirements,All novel Q100 terms defined with source references,Review,STK_CM,2026-02-28,GENERATED,8,HIGH,LC02,BASELINE,NEW,,,"Baseline requirement - GENERATED"
🔵 KNU-00-00-001-ICD-001,KNOT-00-00-001,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Terminology Database Schema,Schema supports versioning and cross-references,Review,STK_DATA,2026-03-15,GENERATED,5,HIGH,LC04,BASELINE,NEW,,"TBD-00-003;TBD-00-002;TBD-00-006","Baseline ICD; subject to modifications by TBD-00-003 (term_type), TBD-00-002 (API), TBD-00-006 (DPP)"
⚪ KNU-00-00-001-ANA-001,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Terminology Gap Analysis,All gaps vs aerospace standards identified,Review,STK_SE,2026-02-15,PLANNED,3,MEDIUM,LC05,BASELINE,NEW,,,"Baseline analysis"
⚪ KNU-00-00-001-CM-001,KNOT-00-00-001,CM,SSOT,../LC08_CONFIGURATION/,Terminology Change Control Process,Process documented and approved,Review,STK_CM,2026-03-20,PLANNED,3,MEDIUM,LC08,BASELINE,NEW,,,"Baseline CM process"
⚪ KNU-00-00-001-PUB-001,KNOT-00-00-001,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Program Glossary DM,DM passes BREX; terms searchable,BREX+CI,STK_PUB,2026-03-31,PLANNED,5,HIGH,LC11,BASELINE,NEW,,,"Baseline glossary publication"
⚪ KNU-00-00-001-ANA-002,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Database Platform Selection Analysis,Trade study complete; PostgreSQL 15 vs 16 recommendation approved,Analysis,STK_DATA,2026-02-01,PLANNED,2,MEDIUM,LC05,TBD-00-001,NEW,TBD-00-001,KNU-00-00-001-ICD-001,"Spawned by TBD-00-001 to resolve PostgreSQL version uncertainty"
⚪ KNU-00-00-001-ANA-003,KNOT-00-00-001,ANA,SSOT,../LC05_ANALYSIS_MODELS/,GraphQL Framework Trade Study,Prototype evaluation; performance benchmarks; Apollo vs Hasura recommendation,Analysis,STK_DATA,2026-02-01,PLANNED,3,MEDIUM,LC05,TBD-00-002,NEW,TBD-00-002,KNU-00-00-001-ICD-001,"Spawned by TBD-00-002; triggers minor API update to ICD-001"
🔵 KNU-00-00-001-REQ-002,KNOT-00-00-001,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Term Type Taxonomy Requirements,Taxonomy approved by STK_CM + STK_SE; integrated with schema,Review,STK_CM,2026-02-15,GENERATED,5,HIGH,LC02,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-ICD-001,"Spawned by TBD-00-003 (BLOCKING); triggers cascade:  ICD-001 mod + TEST-001 + PUB-002 + ICD-003"
⚪ KNU-00-00-001-TEST-001,KNOT-00-00-001,TEST,SSOT,../LC06_VERIFICATION/,Schema Validation Tests,Test cases cover all term types; 100% pass rate,Test,STK_TEST,2026-02-20,PLANNED,3,HIGH,LC06,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-REQ-002,"Triggered by REQ-002 completion; validates term_type implementation"
⚪ KNU-00-00-001-PUB-002,KNOT-00-00-001,PUB-AMM,CSDB,../../PUB/AMM/CSDB/DM/,Term Type Usage Guide,DM passes BREX; integrated with AMM; author guidance complete,BREX+CI,STK_CM,2026-03-01,PLANNED,4,MEDIUM,LC11,TBD-00-003,NEW,TBD-00-003,KNU-00-00-001-REQ-002,"Triggered by REQ-002; provides CSDB author guidance on term type selection"
